Plant,AMF,Puccinia,Treatment,Measurement,Value
Plant_01,AM-,Puccinia-,Control,PhEF2,0.002785
Plant_02,AM-,Puccinia-,Control,PhEF2,2.55E-05
Plant_03,AM-,Puccinia-,Control,PhEF2,0.000449
Plant_04,AM-,Puccinia-,Control,PhEF2,0.000855
Plant_05,AM-,Puccinia-,Control,PhEF2,9.82E-05
Plant_06,AM-,Puccinia-,Control,PhEF2,0.00062
Plant_07,AM-,Puccinia+,Puccinia,PhEF2,9.35717
Plant_08,AM-,Puccinia+,Puccinia,PhEF2,11.2125
Plant_09,AM-,Puccinia+,Puccinia,PhEF2,12.67916
Plant_10,AM-,Puccinia+,Puccinia,PhEF2,14.15593
Plant_11,AM-,Puccinia+,Puccinia,PhEF2,10.89492
Plant_12,AM-,Puccinia+,Puccinia,PhEF2,42.45803
Plant_13,AM+,Puccinia-,AMF,PhEF2,0.000556
Plant_14,AM+,Puccinia-,AMF,PhEF2,0.002687
Plant_15,AM+,Puccinia-,AMF,PhEF2,2.45E-05
Plant_16,AM+,Puccinia-,AMF,PhEF2,0.00046
Plant_17,AM+,Puccinia-,AMF,PhEF2,0.001392
Plant_18,AM+,Puccinia-,AMF,PhEF2,0.000375
Plant_19,AM+,Puccinia+,Both,PhEF2,28.12165
Plant_20,AM+,Puccinia+,Both,PhEF2,55.41069
Plant_21,AM+,Puccinia+,Both,PhEF2,13.23845
Plant_22,AM+,Puccinia+,Both,PhEF2,16.67028
Plant_23,AM+,Puccinia+,Both,PhEF2,24.89613
Plant_24,AM+,Puccinia+,Both,PhEF2,17.38837
Plant_01,AM-,Puccinia-,Control,AMF,1.262
Plant_02,AM-,Puccinia-,Control,AMF,1.297
Plant_03,AM-,Puccinia-,Control,AMF,1.1
Plant_04,AM-,Puccinia-,Control,AMF,1
Plant_05,AM-,Puccinia-,Control,AMF,1.138
Plant_06,AM-,Puccinia-,Control,AMF,1.245
Plant_07,AM-,Puccinia+,Puccinia,AMF,1.345
Plant_08,AM-,Puccinia+,Puccinia,AMF,1.579
Plant_09,AM-,Puccinia+,Puccinia,AMF,1.262
Plant_10,AM-,Puccinia+,Puccinia,AMF,3.157
Plant_11,AM-,Puccinia+,Puccinia,AMF,3.078
Plant_12,AM-,Puccinia+,Puccinia,AMF,2.909
Plant_13,AM+,Puccinia-,AMF,AMF,16.888
Plant_14,AM+,Puccinia-,AMF,AMF,6.758
Plant_15,AM+,Puccinia-,AMF,AMF,15.489
Plant_16,AM+,Puccinia-,AMF,AMF,16.589
Plant_17,AM+,Puccinia-,AMF,AMF,13.942
Plant_18,AM+,Puccinia-,AMF,AMF,9.208
Plant_19,AM+,Puccinia+,Both,AMF,4.907
Plant_20,AM+,Puccinia+,Both,AMF,21.384
Plant_21,AM+,Puccinia+,Both,AMF,8.102
Plant_22,AM+,Puccinia+,Both,AMF,8.122
Plant_23,AM+,Puccinia+,Both,AMF,34.431
Plant_24,AM+,Puccinia+,Both,AMF,13.591
Plant_01,AM-,Puccinia-,Control,Mass,2.2841
Plant_02,AM-,Puccinia-,Control,Mass,2.229
Plant_03,AM-,Puccinia-,Control,Mass,1.9358
Plant_04,AM-,Puccinia-,Control,Mass,1.601
Plant_05,AM-,Puccinia-,Control,Mass,1.8282
Plant_06,AM-,Puccinia-,Control,Mass,1.4079
Plant_07,AM-,Puccinia+,Puccinia,Mass,1.348
Plant_08,AM-,Puccinia+,Puccinia,Mass,1.4797
Plant_09,AM-,Puccinia+,Puccinia,Mass,1.2135
Plant_10,AM-,Puccinia+,Puccinia,Mass,1.2009
Plant_11,AM-,Puccinia+,Puccinia,Mass,1.1187
Plant_12,AM-,Puccinia+,Puccinia,Mass,1.0475
Plant_13,AM+,Puccinia-,AMF,Mass,2.1937
Plant_14,AM+,Puccinia-,AMF,Mass,2.0697
Plant_15,AM+,Puccinia-,AMF,Mass,1.6533
Plant_16,AM+,Puccinia-,AMF,Mass,1.6622
Plant_17,AM+,Puccinia-,AMF,Mass,1.6792
Plant_18,AM+,Puccinia-,AMF,Mass,0.8294
Plant_19,AM+,Puccinia+,Both,Mass,1.3934
Plant_20,AM+,Puccinia+,Both,Mass,1.6548
Plant_21,AM+,Puccinia+,Both,Mass,1.0714
Plant_22,AM+,Puccinia+,Both,Mass,1.3545
Plant_23,AM+,Puccinia+,Both,Mass,1.1826
Plant_24,AM+,Puccinia+,Both,Mass,1.2189
