Plant,AMF,Puccinia,Treatment,Gene,Value
Plant_01,AM-,Puccinia-,Control,PR1,0.810509
Plant_02,AM-,Puccinia-,Control,PR1,0.3374
Plant_03,AM-,Puccinia-,Control,PR1,0.107575
Plant_04,AM-,Puccinia-,Control,PR1,0.285674
Plant_05,AM-,Puccinia-,Control,PR1,0.0301
Plant_06,AM-,Puccinia-,Control,PR1,0.090806
Plant_07,AM-,Puccinia+,Puccinia,PR1,6.698196
Plant_08,AM-,Puccinia+,Puccinia,PR1,5.046667
Plant_09,AM-,Puccinia+,Puccinia,PR1,6.058189
Plant_10,AM-,Puccinia+,Puccinia,PR1,7.550198
Plant_11,AM-,Puccinia+,Puccinia,PR1,5.61945
Plant_12,AM-,Puccinia+,Puccinia,PR1,7.588029
Plant_13,AM+,Puccinia-,AMF,PR1,0.528928
Plant_14,AM+,Puccinia-,AMF,PR1,0.960763
Plant_15,AM+,Puccinia-,AMF,PR1,0.435725
Plant_16,AM+,Puccinia-,AMF,PR1,0.148774
Plant_17,AM+,Puccinia-,AMF,PR1,0.02023
Plant_18,AM+,Puccinia-,AMF,PR1,0.101983
Plant_19,AM+,Puccinia+,Both,PR1,26.9456
Plant_20,AM+,Puccinia+,Both,PR1,17.06383
Plant_21,AM+,Puccinia+,Both,PR1,8.481358
Plant_22,AM+,Puccinia+,Both,PR1,10.54639
Plant_23,AM+,Puccinia+,Both,PR1,7.649147
Plant_24,AM+,Puccinia+,Both,PR1,3.160115
Plant_01,AM-,Puccinia-,Control,PR2,0.008944
Plant_02,AM-,Puccinia-,Control,PR2,0.015646
Plant_03,AM-,Puccinia-,Control,PR2,0.003838
Plant_04,AM-,Puccinia-,Control,PR2,0.002717
Plant_05,AM-,Puccinia-,Control,PR2,0.000847
Plant_06,AM-,Puccinia-,Control,PR2,0.000753
Plant_07,AM-,Puccinia+,Puccinia,PR2,0.49581
Plant_08,AM-,Puccinia+,Puccinia,PR2,0.380332
Plant_09,AM-,Puccinia+,Puccinia,PR2,0.480589
Plant_10,AM-,Puccinia+,Puccinia,PR2,0.658408
Plant_11,AM-,Puccinia+,Puccinia,PR2,0.291945
