Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.1HG0073500,-4.005446424,4.227637823,2.87E-30,4.52E-26
HORVU.MOREX.r3.6HG0629260,-3.390784548,7.221366267,2.72E-29,2.14E-25
HORVU.MOREX.r3.3HG0286930,-3.060784887,5.961659975,7.71E-28,4.04E-24
HORVU.MOREX.r3.3HG0330120,-3.715521252,4.238822553,1.63E-27,6.39E-24
HORVU.MOREX.r3.5HG0497680,3.091221517,5.003718221,3.70E-26,1.16E-22
HORVU.MOREX.r3.3HG0323580,3.03118366,5.099758217,9.74E-26,2.55E-22
HORVU.MOREX.r3.1HG0076150,-2.709934325,5.484287379,1.11E-22,2.49E-19
HORVU.MOREX.r3.3HG0321580,3.045079233,4.429928664,5.01E-22,9.85E-19
HORVU.MOREX.r3.1HG0083720,-3.15981752,4.175922062,2.41E-21,4.21E-18
HORVU.MOREX.r3.7HG0743280,2.730281536,7.09433602,4.65E-21,7.32E-18
HORVU.MOREX.r3.7HG0668940,2.523090398,6.31515636,4.15E-20,5.94E-17
HORVU.MOREX.r3.6HG0603700,2.924959489,4.301210162,5.44E-20,7.13E-17
HORVU.MOREX.r3.5HG0482430,-2.598490317,7.256609902,4.90E-19,5.93E-16
HORVU.MOREX.r3.4HG0388460,-2.318097021,5.425826567,1.47E-17,1.65E-14
HORVU.MOREX.r3.2HG0104810,-2.374986882,6.887351784,3.26E-17,3.42E-14
HORVU.MOREX.r3.6HG0546340,2.24352744,5.597643524,8.28E-17,8.14E-14
HORVU.MOREX.r3.7HG0719250,2.70774489,4.095487557,1.86E-16,1.72E-13
HORVU.MOREX.r3.4HG0383400,2.211400525,6.226686418,2.68E-16,2.34E-13
HORVU.MOREX.r3.5HG0525430,-2.390169496,4.652107226,3.27E-16,2.70E-13
HORVU.MOREX.r3.6HG0619310,2.508224588,4.3720149,3.97E-16,3.12E-13
HORVU.MOREX.r3.2HG0187050,2.94932491,3.7251355,4.20E-16,3.15E-13
HORVU.MOREX.r3.7HG0643210,2.426924679,4.384704847,2.57E-15,1.84E-12
HORVU.MOREX.r3.3HG0276810,2.106377488,5.653233263,3.51E-15,2.40E-12
HORVU.MOREX.r3.3HG0252270,-3.12647998,3.364321345,5.10E-15,3.34E-12
HORVU.MOREX.r3.6HG0605940,2.076029721,5.810342628,6.86E-15,4.32E-12
HORVU.MOREX.r3.5HG0529880,-3.734204015,2.79577885,7.19E-15,4.35E-12
HORVU.MOREX.r3.2HG0104780,-2.152591779,7.068848339,2.53E-14,1.47E-11
HORVU.MOREX.r3.3HG0239530,2.134787485,6.988044455,2.84E-14,1.59E-11
HORVU.MOREX.r3.1HG0057750,2.553009265,3.951349613,3.00E-14,1.63E-11
HORVU.MOREX.r3.3HG0222410,-3.203330775,3.106487887,6.97E-14,3.65E-11
HORVU.MOREX.r3.5HG0513730,1.990206918,5.643179945,7.51E-14,3.81E-11
HORVU.MOREX.r3.1HG0020440,2.977297537,3.334471497,8.93E-14,4.39E-11
HORVU.MOREX.r3.3HG0222380,-2.255661755,4.354974328,1.26E-13,6.02E-11
HORVU.MOREX.r3.3HG0303550,-2.416791274,4.02318456,1.63E-13,7.53E-11
HORVU.MOREX.r3.4HG0406650,2.384495159,4.058846217,2.05E-13,9.21E-11
HORVU.MOREX.r3.2HG0111820,1.989709761,5.067851231,3.94E-13,1.72E-10
HORVU.MOREX.r3.7HG0645900,2.584980304,3.699449937,4.06E-13,1.73E-10
HORVU.MOREX.r3.2HG0213970,1.937867888,6.291090114,4.60E-13,1.91E-10
HORVU.MOREX.r3.7HG0743270,2.85759174,3.336162903,5.20E-13,2.10E-10
HORVU.MOREX.r3.7HG0732170,1.936424078,6.367815958,5.63E-13,2.21E-10
HORVU.MOREX.r3.7HG0660720,1.892548902,5.845566023,8.77E-13,3.37E-10
HORVU.MOREX.r3.1HG0005420,1.969066746,6.822309369,9.47E-13,3.55E-10
HORVU.MOREX.r3.4HG0334970,-3.060539166,3.034194029,1.12E-12,4.10E-10
HORVU.MOREX.r3.3HG0218800,-1.982551311,4.883591475,1.15E-12,4.12E-10
HORVU.MOREX.r3.6HG0568570,2.041757092,7.487902209,1.88E-12,6.56E-10
HORVU.MOREX.r3.7HG0726310,-2.459670405,3.743679714,1.97E-12,6.74E-10
HORVU.MOREX.r3.7HG0711020,-1.95882341,4.827223941,2.92E-12,9.78E-10
HORVU.MOREX.r3.5HG0484180,1.851593641,6.250308754,3.69E-12,1.21E-09
HORVU.MOREX.r3.7HG0645780,2.552990461,3.531747047,5.18E-12,1.66E-09
HORVU.MOREX.r3.1HG0059470,-1.837144007,6.352481859,6.49E-12,2.04E-09
HORVU.MOREX.r3.7HG0639980,-2.691455726,3.299955981,8.35E-12,2.53E-09
HORVU.MOREX.r3.5HG0474120,1.925791503,7.157975716,8.38E-12,2.53E-09
HORVU.MOREX.r3.2HG0181540,1.83959119,5.141141194,1.13E-11,3.36E-09
HORVU.MOREX.r3.5HG0430240,1.982016332,4.526983712,1.18E-11,3.43E-09
HORVU.MOREX.r3.6HG0574290,1.797136343,5.357549313,1.61E-11,4.60E-09
HORVU.MOREX.r3.1HG0080800,2.161768393,4.045234041,1.93E-11,5.42E-09
HORVU.MOREX.r3.4HG0406630,2.141687634,4.065749416,2.22E-11,6.12E-09
HORVU.MOREX.r3.3HG0235910,-1.829622577,4.943380877,3.04E-11,8.25E-09
HORVU.MOREX.r3.2HG0139040,1.921512532,4.491929861,5.90E-11,1.57E-08
HORVU.MOREX.r3.7HG0664720,-2.548893387,3.296835671,6.47E-11,1.70E-08
HORVU.MOREX.r3.4HG0406580,2.579722654,3.248031544,7.57E-11,1.95E-08
HORVU.MOREX.r3.1HG0053590,1.721017679,5.4492936,8.19E-11,2.08E-08
HORVU.MOREX.r3.3HG0302570,-3.106204747,2.592076375,8.61E-11,2.15E-08
HORVU.MOREX.r3.6HG0598010,2.486788874,3.3510776,1.01E-10,2.48E-08
HORVU.MOREX.r3.1HG0090460,1.731555613,5.047594772,1.91E-10,4.63E-08
HORVU.MOREX.r3.1HG0029360,1.704330653,5.225617103,1.97E-10,4.70E-08
