Gene.ID,Cluster
HORVU.MOREX.r3.1HG0000090,Cluster 2
HORVU.MOREX.r3.1HG0000610,Cluster 2
HORVU.MOREX.r3.1HG0000670,Cluster 2
HORVU.MOREX.r3.1HG0000870,Cluster 2
HORVU.MOREX.r3.1HG0002170,Cluster 2
HORVU.MOREX.r3.1HG0002350,Cluster 2
HORVU.MOREX.r3.1HG0002840,Cluster 2
HORVU.MOREX.r3.1HG0003290,Cluster 2
HORVU.MOREX.r3.1HG0003950,Cluster 2
HORVU.MOREX.r3.1HG0004230,Cluster 2
HORVU.MOREX.r3.1HG0004660,Cluster 2
HORVU.MOREX.r3.1HG0004690,Cluster 2
HORVU.MOREX.r3.1HG0004870,Cluster 2
HORVU.MOREX.r3.1HG0005000,Cluster 2
HORVU.MOREX.r3.1HG0005090,Cluster 2
HORVU.MOREX.r3.1HG0005580,Cluster 2
HORVU.MOREX.r3.1HG0005590,Cluster 2
HORVU.MOREX.r3.1HG0006340,Cluster 2
HORVU.MOREX.r3.1HG0006570,Cluster 2
HORVU.MOREX.r3.1HG0007230,Cluster 2
HORVU.MOREX.r3.1HG0007900,Cluster 2
HORVU.MOREX.r3.1HG0010370,Cluster 2
HORVU.MOREX.r3.1HG0010450,Cluster 2
HORVU.MOREX.r3.1HG0011110,Cluster 2
HORVU.MOREX.r3.1HG0011870,Cluster 2
HORVU.MOREX.r3.1HG0012020,Cluster 2
HORVU.MOREX.r3.1HG0012180,Cluster 2
HORVU.MOREX.r3.1HG0012630,Cluster 2
HORVU.MOREX.r3.1HG0013020,Cluster 2
HORVU.MOREX.r3.1HG0013800,Cluster 2
HORVU.MOREX.r3.1HG0014440,Cluster 2
HORVU.MOREX.r3.1HG0014620,Cluster 2
HORVU.MOREX.r3.1HG0014680,Cluster 2
HORVU.MOREX.r3.1HG0014710,Cluster 2
HORVU.MOREX.r3.1HG0015390,Cluster 2
HORVU.MOREX.r3.1HG0015760,Cluster 2
HORVU.MOREX.r3.1HG0016110,Cluster 2
HORVU.MOREX.r3.1HG0016450,Cluster 2
HORVU.MOREX.r3.1HG0016940,Cluster 2
HORVU.MOREX.r3.1HG0017130,Cluster 2
HORVU.MOREX.r3.1HG0017440,Cluster 2
HORVU.MOREX.r3.1HG0017720,Cluster 2
HORVU.MOREX.r3.1HG0017760,Cluster 2
HORVU.MOREX.r3.1HG0017880,Cluster 2
HORVU.MOREX.r3.1HG0018050,Cluster 2
HORVU.MOREX.r3.1HG0018350,Cluster 2
HORVU.MOREX.r3.1HG0018620,Cluster 2
HORVU.MOREX.r3.1HG0019150,Cluster 2
HORVU.MOREX.r3.1HG0019160,Cluster 2
HORVU.MOREX.r3.1HG0019320,Cluster 2
HORVU.MOREX.r3.1HG0019340,Cluster 2
HORVU.MOREX.r3.1HG0019650,Cluster 2
HORVU.MOREX.r3.1HG0019680,Cluster 2
HORVU.MOREX.r3.1HG0020300,Cluster 2
HORVU.MOREX.r3.1HG0020310,Cluster 2
HORVU.MOREX.r3.1HG0020820,Cluster 2
HORVU.MOREX.r3.1HG0020990,Cluster 2
HORVU.MOREX.r3.1HG0021100,Cluster 2
HORVU.MOREX.r3.1HG0021110,Cluster 2
HORVU.MOREX.r3.1HG0021150,Cluster 2
HORVU.MOREX.r3.1HG0021320,Cluster 2
HORVU.MOREX.r3.1HG0021710,Cluster 2
HORVU.MOREX.r3.1HG0021770,Cluster 2
HORVU.MOREX.r3.1HG0022120,Cluster 2
HORVU.MOREX.r3.1HG0022330,Cluster 2
HORVU.MOREX.r3.1HG0022340,Cluster 2
HORVU.MOREX.r3.1HG0022460,Cluster 2
HORVU.MOREX.r3.1HG0022760,Cluster 2
HORVU.MOREX.r3.1HG0022780,Cluster 2
HORVU.MOREX.r3.1HG0023580,Cluster 2
HORVU.MOREX.r3.1HG0023740,Cluster 2
HORVU.MOREX.r3.1HG0024020,Cluster 2
HORVU.MOREX.r3.1HG0024050,Cluster 2
HORVU.MOREX.r3.1HG0024090,Cluster 2
HORVU.MOREX.r3.1HG0024290,Cluster 2
HORVU.MOREX.r3.1HG0024440,Cluster 2
HORVU.MOREX.r3.1HG0024500,Cluster 2
HORVU.MOREX.r3.1HG0024560,Cluster 2
HORVU.MOREX.r3.1HG0024730,Cluster 2
HORVU.MOREX.r3.1HG0024980,Cluster 2
HORVU.MOREX.r3.1HG0025720,Cluster 2
HORVU.MOREX.r3.1HG0025790,Cluster 2
HORVU.MOREX.r3.1HG0025900,Cluster 2
HORVU.MOREX.r3.1HG0026010,Cluster 2
HORVU.MOREX.r3.1HG0026900,Cluster 2
HORVU.MOREX.r3.1HG0026940,Cluster 2
HORVU.MOREX.r3.1HG0026950,Cluster 2
HORVU.MOREX.r3.1HG0027000,Cluster 2
HORVU.MOREX.r3.1HG0027200,Cluster 2
HORVU.MOREX.r3.1HG0027490,Cluster 2
HORVU.MOREX.r3.1HG0027890,Cluster 2
HORVU.MOREX.r3.1HG0027950,Cluster 2
HORVU.MOREX.r3.1HG0028220,Cluster 2
HORVU.MOREX.r3.1HG0028230,Cluster 2
HORVU.MOREX.r3.1HG0029490,Cluster 2
HORVU.MOREX.r3.1HG0029620,Cluster 2
HORVU.MOREX.r3.1HG0029730,Cluster 2
HORVU.MOREX.r3.1HG0030630,Cluster 2
HORVU.MOREX.r3.1HG0030730,Cluster 2
HORVU.MOREX.r3.1HG0031210,Cluster 2
HORVU.MOREX.r3.1HG0031980,Cluster 2
HORVU.MOREX.r3.1HG0032260,Cluster 2
HORVU.MOREX.r3.1HG0032470,Cluster 2
HORVU.MOREX.r3.1HG0032760,Cluster 2
HORVU.MOREX.r3.1HG0033390,Cluster 2
HORVU.MOREX.r3.1HG0034560,Cluster 2
HORVU.MOREX.r3.1HG0035140,Cluster 2
HORVU.MOREX.r3.1HG0036330,Cluster 2
HORVU.MOREX.r3.1HG0036370,Cluster 2
HORVU.MOREX.r3.1HG0037500,Cluster 2
HORVU.MOREX.r3.1HG0037780,Cluster 2
HORVU.MOREX.r3.1HG0037800,Cluster 2
HORVU.MOREX.r3.1HG0038620,Cluster 2
HORVU.MOREX.r3.1HG0038630,Cluster 2
HORVU.MOREX.r3.1HG0038930,Cluster 2
HORVU.MOREX.r3.1HG0039160,Cluster 2
HORVU.MOREX.r3.1HG0039860,Cluster 2
HORVU.MOREX.r3.1HG0040000,Cluster 2
HORVU.MOREX.r3.1HG0040100,Cluster 2
HORVU.MOREX.r3.1HG0040570,Cluster 2
HORVU.MOREX.r3.1HG0040610,Cluster 2
HORVU.MOREX.r3.1HG0040900,Cluster 2
HORVU.MOREX.r3.1HG0041230,Cluster 2
HORVU.MOREX.r3.1HG0041280,Cluster 2
HORVU.MOREX.r3.1HG0041630,Cluster 2
HORVU.MOREX.r3.1HG0042060,Cluster 2
HORVU.MOREX.r3.1HG0042100,Cluster 2
HORVU.MOREX.r3.1HG0044100,Cluster 2
