Gene.ID,C,A,P,AP,Cluster
HORVU.MOREX.r3.1HG0000090,513,411,101,80,c1
HORVU.MOREX.r3.1HG0000110,938,1352,2495,1682,c2
HORVU.MOREX.r3.1HG0000380,0,2,7,39,c1
HORVU.MOREX.r3.1HG0000490,136,35,23,21,c1
HORVU.MOREX.r3.1HG0000610,537,716,518,342,c2
HORVU.MOREX.r3.1HG0000670,212,134,54,37,c1
HORVU.MOREX.r3.1HG0000870,106,85,11,10,c1
HORVU.MOREX.r3.1HG0000950,3,1,72,62,c1
HORVU.MOREX.r3.1HG0001280,125,183,404,284,c2
HORVU.MOREX.r3.1HG0002020,43,23,21,21,c1
HORVU.MOREX.r3.1HG0002160,399,356,206,291,c3
HORVU.MOREX.r3.1HG0002170,96,80,8,14,c1
HORVU.MOREX.r3.1HG0002350,350,313,41,62,c1
HORVU.MOREX.r3.1HG0002840,496,596,603,515,c2
HORVU.MOREX.r3.1HG0003290,19,19,21,10,c1
HORVU.MOREX.r3.1HG0003950,658,715,609,397,c2
HORVU.MOREX.r3.1HG0004230,43,39,5,3,c1
HORVU.MOREX.r3.1HG0004280,132,241,86,137,c1
HORVU.MOREX.r3.1HG0004660,341,215,69,54,c1
HORVU.MOREX.r3.1HG0004690,1585,1171,216,269,c1
HORVU.MOREX.r3.1HG0004730,525,1384,923,824,c2
HORVU.MOREX.r3.1HG0004870,64,83,12,14,c1
HORVU.MOREX.r3.1HG0005000,1341,1565,326,261,c1
HORVU.MOREX.r3.1HG0005090,391,558,130,92,c1
HORVU.MOREX.r3.1HG0005420,356,1385,1488,1627,c5
HORVU.MOREX.r3.1HG0005580,375,256,12,8,c1
HORVU.MOREX.r3.1HG0005590,173,118,38,30,c1
HORVU.MOREX.r3.1HG0005790,77,134,129,106,c1
HORVU.MOREX.r3.1HG0006210,40,51,110,101,c1
HORVU.MOREX.r3.1HG0006340,293,194,48,52,c1
HORVU.MOREX.r3.1HG0006400,15,28,28,26,c1
HORVU.MOREX.r3.1HG0006570,1912.666667,2331,508.6666667,451,c7
HORVU.MOREX.r3.1HG0007230,59,53,15,8,c1
HORVU.MOREX.r3.1HG0007570,22,18,17,21,c1
HORVU.MOREX.r3.1HG0007900,579,426,20,18,c1
HORVU.MOREX.r3.1HG0008790,73,41,46,157,c3
HORVU.MOREX.r3.1HG0008980,163,161,192,276,c5
HORVU.MOREX.r3.1HG0009460,731,1443,1847,1223,c2
HORVU.MOREX.r3.1HG0009480,36,77,118,61,c4
HORVU.MOREX.r3.1HG0009490,29,33,63,36,c1
HORVU.MOREX.r3.1HG0010340,19,58,26,23,c1
HORVU.MOREX.r3.1HG0010370,116,131,29,17,c1
HORVU.MOREX.r3.1HG0010450,145,85,14,16,c1
HORVU.MOREX.r3.1HG0010600,16,41,187,64,c6
HORVU.MOREX.r3.1HG0010640,8,1,83,99,c1
HORVU.MOREX.r3.1HG0011110,61,56,9,11,c1
HORVU.MOREX.r3.1HG0011870,56,50,6,7,c1
HORVU.MOREX.r3.1HG0012020,675,526,116,141,c1
HORVU.MOREX.r3.1HG0012180,171,237,156,129,c1
HORVU.MOREX.r3.1HG0012630,147,47,7,5,c1
HORVU.MOREX.r3.1HG0013020,184,151,34,39,c1
HORVU.MOREX.r3.1HG0013800,178,182,165,158,c1
HORVU.MOREX.r3.1HG0014120,18,18,100,79,c1
HORVU.MOREX.r3.1HG0014190,148,161,293,233,c2
HORVU.MOREX.r3.1HG0014440,1332,779,142,140,c1
HORVU.MOREX.r3.1HG0014530,392,301,432,381,c2
HORVU.MOREX.r3.1HG0014580,7119,8452,4679,5676,c5
HORVU.MOREX.r3.1HG0014620,211,219,28,31,c1
HORVU.MOREX.r3.1HG0014680,240,333,35,51,c1
HORVU.MOREX.r3.1HG0014710,100,77,5,10,c1
HORVU.MOREX.r3.1HG0015390,101,64,6,14,c1
HORVU.MOREX.r3.1HG0015430,5,17,24,23,c1
HORVU.MOREX.r3.1HG0015520,166,340,328,257,c2
HORVU.MOREX.r3.1HG0015720,293,673,787,829,c5
HORVU.MOREX.r3.1HG0015760,37,47,5,8,c1
HORVU.MOREX.r3.1HG0016110,697,561,111,95,c1
HORVU.MOREX.r3.1HG0016210,23,46,50,53,c1
HORVU.MOREX.r3.1HG0016450,213,269,169,170,c1
HORVU.MOREX.r3.1HG0016710,61,171,14,35,c1
HORVU.MOREX.r3.1HG0016790,61,56,39,46,c1
HORVU.MOREX.r3.1HG0016940,362,278,70,71,c1
HORVU.MOREX.r3.1HG0017130,89,95,18,21,c1
HORVU.MOREX.r3.1HG0017280,234,244,867,954,c5
HORVU.MOREX.r3.1HG0017420,78,146,326,261,c2
HORVU.MOREX.r3.1HG0017440,197,191,35,32,c1
HORVU.MOREX.r3.1HG0017620,264,133,57,34,c1
HORVU.MOREX.r3.1HG0017720,1777,2463,2244,1799,c2
HORVU.MOREX.r3.1HG0017750,904,1427,1597,1153,c2
HORVU.MOREX.r3.1HG0017760,87.66666667,108.6666667,23.33333333,21.33333333,c7
HORVU.MOREX.r3.1HG0017880,83,76,17,16,c1
HORVU.MOREX.r3.1HG0017930,32,39,209,154,c2
HORVU.MOREX.r3.1HG0017980,189,170,463,372,c2
HORVU.MOREX.r3.1HG0018050,187,60,19,15,c1
